Año,Clave,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,9003,La vida y la Integridad corporal,Aborto,Aborto,Aborto,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
2015,9003,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015,9003,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,Libertad personal,Rapto,Rapto,Rapto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,4.0,6.0,8.0,3.0,2.0,4.0,6.0,6.0,1.0,0.0,3.0
2015,9003,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,8,6.0,9.0,8.0,4.0,7.0,9.0,8.0,9.0,11.0,8.0,13.0
2015,9003,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015,9003,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,1,2.0,2.0,5.0,2.0,1.0,5.0,5.0,4.0,5.0,5.0,2.0
2015,9003,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2015,9003,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9003,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2015,9003,El patrimonio,Robo,Robo a casa habitación,Con violencia,3,1.0,4.0,3.0,7.0,2.0,3.0,3.0,5.0,6.0,5.0,5.0
2015,9003,El patrimonio,Robo,Robo a casa habitación,Sin violencia,31,27.0,38.0,33.0,32.0,31.0,30.0,35.0,32.0,28.0,28.0,39.0
2015,9003,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,29,12.0,16.0,12.0,24.0,20.0,13.0,11.0,12.0,12.0,4.0,7.0
2015,9003,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,65,81.0,67.0,72.0,79.0,67.0,76.0,64.0,64.0,67.0,70.0,61.0
2015,9003,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,3.0
